V1	V2
IGHV4-59	IGKV1-33
IGHV4-59	IGKV1-17
IGHV4-59	IGKV1-16
IGHV4-59	IGKV1-12
IGHV4-39	FCAMR
IGHV4-39	IGHD
IGHV4-39	IGKV5-2
IGHV4-39	IGKV4-1
IGHV4-39	IGKV3D-20
IGHV4-39	IGKV3-20
IGHV4-39	IGKV3-15
IGHV4-39	IGKV3-11
IGHV4-39	IGKV2D-30
IGHV4-39	IGKV2D-28
IGHV4-39	IGKV2-30
IGHV4-39	IGKV2-29
IGHV4-39	IGKV2-28
IGHV4-39	IGKV1D-39
IGHV4-39	IGKV1D-33
IGHV4-39	IGKV1D-16
IGHV4-39	IGKV1D-12
IGHV4-39	IGKV1-5
IGHV4-39	IGKV1-39
IGHV4-39	IGKV1-33
IGHV4-39	IGKV1-17
IGHV4-39	IGKV1-16
IGHV4-39	IGKV1-12
IGHV4-34	FCAMR
IGHV4-34	IGHD
IGHV4-34	IGKV5-2
IGHV4-34	IGKV4-1
IGHV4-34	IGKV3D-20
IGHV4-34	IGKV3-20
IGHV4-34	IGKV3-15
IGHV4-34	IGKV3-11
IGHV4-34	IGKV2D-30
IGHV4-34	IGKV2D-28
IGHV4-34	IGKV2-30
IGHV4-34	IGKV2-29
IGHV4-34	IGKV2-28
IGHV4-34	IGKV1D-39
IGHV4-34	IGKV1D-33
IGHV4-34	IGKV1D-16
IGHV4-34	IGKV1D-12
IGHV4-34	IGKV1-5
IGHV4-34	IGKV1-39
IGHV4-34	IGKV1-33
IGHV4-34	IGKV1-17
IGHV4-34	IGKV1-16
IGHV4-34	IGKV1-12
IGHV3-9	FCAMR
IGHV3-9	IGHD
IGHV3-9	IGKV5-2
IGHV3-9	IGKV4-1
IGHV3-9	IGKV3D-20
IGHV3-9	IGKV3-20
IGHV3-9	IGKV3-15
IGHV3-9	IGKV3-11
IGHV3-9	IGKV2D-30
IGHV3-9	IGKV2D-28
IGHV3-9	IGKV2-30
IGHV3-9	IGKV2-29
IGHV3-9	IGKV2-28
IGHV3-9	IGKV1D-39
IGHV3-9	IGKV1D-33
IGHV3-9	IGKV1D-16
IGHV3-9	IGKV1D-12
IGHV3-9	IGKV1-5
IGHV3-9	IGKV1-39
IGHV3-9	IGKV1-33
IGHV3-9	IGKV1-17
IGHV3-9	IGKV1-16
IGHV3-9	IGKV1-12
IGHV3-7	FCAMR
IGHV3-7	IGHD
IGHV3-7	IGKV5-2
IGHV3-7	IGKV4-1
IGHV3-7	IGKV3D-20
IGHV3-7	IGKV3-20
IGHV3-7	IGKV3-15
IGHV3-7	IGKV3-11
IGHV3-7	IGKV2D-30
IGHV3-7	IGKV2D-28
IGHV3-7	IGKV2-30
IGHV3-7	IGKV2-29
IGHV3-7	IGKV2-28
IGHV3-7	IGKV1D-39
IGHV3-7	IGKV1D-33
IGHV3-7	IGKV1D-16
IGHV3-7	IGKV1D-12
IGHV3-7	IGKV1-5
IGHV3-7	IGKV1-39
IGHV3-7	IGKV1-33
IGHV3-7	IGKV1-17
IGHV3-7	IGKV1-16
IGHV3-7	IGKV1-12
IGHV3-53	FCAMR
IGHV3-53	IGHD
IGHV3-53	IGKV5-2
IGHV3-53	IGKV4-1
IGHV3-53	IGKV3D-20
IGHV3-53	IGKV3-20
IGHV3-53	IGKV3-15
IGHV3-53	IGKV3-11
IGHV3-53	IGKV2D-30
IGHV3-53	IGKV2D-28
IGHV3-53	IGKV2-30
IGHV3-53	IGKV2-29
IGHV3-53	IGKV2-28
IGHV3-53	IGKV1D-39
IGHV3-53	IGKV1D-33
IGHV3-53	IGKV1D-16
IGHV3-53	IGKV1D-12
IGHV3-53	IGKV1-5
IGHV3-53	IGKV1-39
IGHV3-53	IGKV1-33
IGHV3-53	IGKV1-17
IGHV3-53	IGKV1-16
IGHV3-53	IGKV1-12
IGHV3-48	FCAMR
IGHV3-48	IGHD
IGHV3-48	IGKV5-2
IGHV3-48	IGKV4-1
IGHV3-48	IGKV3D-20
IGHV3-48	IGKV3-20
IGHV3-48	IGKV3-15
IGHV3-48	IGKV3-11
IGHV3-48	IGKV2D-30
IGHV3-48	IGKV2D-28
IGHV3-48	IGKV2-30
IGHV3-48	IGKV2-29
IGHV3-48	IGKV2-28
IGHV3-48	IGKV1D-39
IGHV3-48	IGKV1D-33
IGHV3-48	IGKV1D-16
IGHV3-48	IGKV1D-12
IGHV3-48	IGKV1-5
IGHV3-48	IGKV1-39
IGHV3-48	IGKV1-33
IGHV3-48	IGKV1-17
IGHV3-48	IGKV1-16
IGHV3-48	IGKV1-12
IGHV3-33	FCAMR
IGHV3-33	IGHD
IGHV3-33	IGKV5-2
IGHV3-33	IGKV4-1
IGHV3-33	IGKV3D-20
IGHV3-33	IGKV3-20
IGHV3-33	IGKV3-15
IGHV3-33	IGKV3-11
IGHV3-33	IGKV2D-30
IGHV3-33	IGKV2D-28
IGHV3-33	IGKV2-30
IGHV3-33	IGKV2-29
IGHV3-33	IGKV2-28
IGHV3-33	IGKV1D-39
IGHV3-33	IGKV1D-33
IGHV3-33	IGKV1D-16
IGHV3-33	IGKV1D-12
IGHV3-33	IGKV1-5
IGHV3-33	IGKV1-39
IGHV3-33	IGKV1-33
IGHV3-33	IGKV1-17
IGHV3-33	IGKV1-16
IGHV3-33	IGKV1-12
IGHV3-30	FCAMR
IGHV3-30	IGHD
IGHV3-30	IGKV5-2
IGHV3-30	IGKV4-1
IGHV3-30	IGKV3D-20
IGHV3-30	IGKV3-20
IGHV3-30	IGKV3-15
IGHV3-30	IGKV3-11
IGHV3-30	IGKV2D-30
IGHV3-30	IGKV2D-28
IGHV3-30	IGKV2-30
IGHV3-30	IGKV2-29
IGHV3-30	IGKV2-28
IGHV3-30	IGKV1D-39
IGHV3-30	IGKV1D-33
IGHV3-30	IGKV1D-16
IGHV3-30	IGKV1D-12
IGHV3-30	IGKV1-5
IGHV3-30	IGKV1-39
IGHV3-30	IGKV1-33
IGHV3-30	IGKV1-17
IGHV3-30	IGKV1-16
IGHV3-30	IGKV1-12
IGHV3-23	FCAMR
IGHV3-23	IGHD
IGHV3-23	IGKV5-2
IGHV3-23	IGKV4-1
IGHV3-23	IGKV3D-20
IGHV3-23	IGKV3-20
IGHV3-23	IGKV3-15
IGHV3-23	IGKV3-11
IGHV3-23	IGKV2D-30
IGHV3-23	IGKV2D-28
IGHV3-23	IGKV2-30
IGHV3-23	IGKV2-29
IGHV3-23	IGKV2-28
IGHV3-23	IGKV1D-39
IGHV3-23	IGKV1D-33
IGHV3-23	IGKV1D-16
IGHV3-23	IGKV1D-12
IGHV3-23	IGKV1-5
IGHV3-23	IGKV1-39
IGHV3-23	IGKV1-33
IGHV3-23	IGKV1-17
IGHV3-23	IGKV1-16
IGHV3-23	IGKV1-12
IGHV3-13	FCAMR
IGHV3-13	IGHD
IGHV3-13	IGKV5-2
IGHV3-13	IGKV4-1
IGHV3-13	IGKV3D-20
IGHV3-13	IGKV3-20
IGHV3-13	IGKV3-15
IGHV3-13	IGKV3-11
IGHV3-13	IGKV2D-30
IGHV3-13	IGKV2D-28
IGHV3-13	IGKV2-30
IGHV3-13	IGKV2-29
IGHV3-13	IGKV2-28
IGHV3-13	IGKV1D-39
IGHV3-13	IGKV1D-33
IGHV3-13	IGKV1D-16
IGHV3-13	IGKV1D-12
IGHV3-13	IGKV1-5
IGHV3-13	IGKV1-39
IGHV3-13	IGKV1-33
IGHV3-13	IGKV1-17
IGHV3-13	IGKV1-16
IGHV3-13	IGKV1-12
IGHV3-11	FCAMR
IGHV3-11	IGHD
IGHV3-11	IGKV5-2
IGHV3-11	IGKV4-1
IGHV3-11	IGKV3D-20
IGHV3-11	IGKV3-20
IGHV3-11	IGKV3-15
IGHV3-11	IGKV3-11
IGHV3-11	IGKV2D-30
IGHV3-11	IGKV2D-28
IGHV3-11	IGKV2-30
IGHV3-11	IGKV2-29
IGHV3-11	IGKV2-28
IGHV3-11	IGKV1D-39
IGHV3-11	IGKV1D-33
IGHV3-11	IGKV1D-16
IGHV3-11	IGKV1D-12
IGHV3-11	IGKV1-5
IGHV3-11	IGKV1-39
IGHV3-11	IGKV1-33
IGHV3-11	IGKV1-17
IGHV3-11	IGKV1-16
IGHV3-11	IGKV1-12
IGHV2-70	FCAMR
IGHV2-70	IGHD
IGHV2-70	IGKV5-2
IGHV2-70	IGKV4-1
IGHV2-70	IGKV3D-20
IGHV2-70	IGKV3-20
IGHV2-70	IGKV3-15
IGHV2-70	IGKV3-11
IGHV2-70	IGKV2D-30
IGHV2-70	IGKV2D-28
IGHV2-70	IGKV2-30
IGHV2-70	IGKV2-29
IGHV2-70	IGKV2-28
IGHV2-70	IGKV1D-39
IGHV2-70	IGKV1D-33
IGHV2-70	IGKV1D-16
IGHV2-70	IGKV1D-12
IGHV2-70	IGKV1-5
IGHV2-70	IGKV1-39
IGHV2-70	IGKV1-33
IGHV2-70	IGKV1-17
IGHV2-70	IGKV1-16
IGHV2-70	IGKV1-12
IGHV2-5	FCAMR
IGHV2-5	IGHD
IGHV2-5	IGKV5-2
IGHV2-5	IGKV4-1
IGHV2-5	IGKV3D-20
IGHV2-5	IGKV3-20
IGHV2-5	IGKV3-15
IGHV2-5	IGKV3-11
IGHV2-5	IGKV2D-30
IGHV2-5	IGKV2D-28
IGHV2-5	IGKV2-30
IGHV2-5	IGKV2-29
IGHV2-5	IGKV2-28
IGHV2-5	IGKV1D-39
IGHV2-5	IGKV1D-33
IGHV2-5	IGKV1D-16
IGHV2-5	IGKV1D-12
IGHV2-5	IGKV1-5
IGHV2-5	IGKV1-39
IGHV2-5	IGKV1-33
IGHV2-5	IGKV1-17
IGHV2-5	IGKV1-16
IGHV2-5	IGKV1-12
IGHV1-69	FCAMR
IGHV1-69	IGHD
IGHV1-69	IGKV5-2
IGHV1-69	IGKV4-1
IGHV1-69	IGKV3D-20
IGHV1-69	IGKV3-20
IGHV1-69	IGKV3-15
IGHV1-69	IGKV3-11
IGHV1-69	IGKV2D-30
IGHV1-69	IGKV2D-28
IGHV1-69	IGKV2-30
IGHV1-69	IGKV2-29
IGHV1-69	IGKV2-28
IGHV1-69	IGKV1D-39
IGHV1-69	IGKV1D-33
IGHV1-69	IGKV1D-16
IGHV1-69	IGKV1D-12
IGHV1-69	IGKV1-5
IGHV1-69	IGKV1-39
IGHV1-69	IGKV1-33
IGHV1-69	IGKV1-17
IGHV1-69	IGKV1-16
IGHV1-69	IGKV1-12
IGHV1-46	FCAMR
IGHV1-46	IGHD
IGHV1-46	IGKV5-2
IGHV1-46	IGKV4-1
IGHV1-46	IGKV3D-20
IGHV1-46	IGKV3-20
IGHV1-46	IGKV3-15
IGHV1-46	IGKV3-11
IGHV1-46	IGKV2D-30
IGHV1-46	IGKV2D-28
IGHV1-46	IGKV2-30
IGHV1-46	IGKV2-29
IGHV1-46	IGKV2-28
IGHV1-46	IGKV1D-39
IGHV1-46	IGKV1D-33
IGHV1-46	IGKV1D-16
IGHV1-46	IGKV1D-12
IGHV1-46	IGKV1-5
