V1	V2
CCNB1	CENPI
CCNB1	CENPC
CCNB1	CENPA
CENPQ	CENPU
CENPQ	CENPT
CENPQ	CENPS
CENPQ	CENPO
CENPQ	CENPN
CENPQ	CENPM
CENPQ	CENPL
CENPQ	CENPK
CENPQ	CENPI
CENPQ	CENPC
CENPQ	CENPA
CENPQ	CCNB1
CENPX	CENPW
H2AFJ	CENPW
H2AFJ	CENPX
H2AFB1	CENPW
H2AFB1	CENPX
HIST2H2AC	CENPW
HIST2H2AC	CENPX
HIST2H2AA4	CENPW
HIST2H2AA4	CENPX
HIST2H2AA3	CENPW
HIST2H2AA3	CENPX
HIST1H2BN	CENPW
HIST1H2BN	CENPX
HIST1H2BN	H2AFJ
HIST1H2BN	H2AFB1
HIST1H2BN	HIST2H2AC
HIST1H2BN	HIST2H2AA4
HIST1H2BN	HIST2H2AA3
HIST1H2BL	CENPW
HIST1H2BL	CENPX
HIST1H2BL	H2AFJ
HIST1H2BL	H2AFB1
HIST1H2BL	HIST2H2AC
HIST1H2BL	HIST2H2AA4
HIST1H2BL	HIST2H2AA3
HIST1H2BK	CENPW
HIST1H2BK	CENPX
HIST1H2BK	H2AFJ
HIST1H2BK	H2AFB1
HIST1H2BK	HIST2H2AC
HIST1H2BK	HIST2H2AA4
HIST1H2BK	HIST2H2AA3
HIST1H2BJ	CENPW
HIST1H2BJ	CENPX
HIST1H2BJ	H2AFJ
HIST1H2BJ	H2AFB1
HIST1H2BJ	HIST2H2AC
HIST1H2BJ	HIST2H2AA4
HIST1H2BJ	HIST2H2AA3
HIST1H2BD	CENPW
HIST1H2BD	CENPX
HIST1H2BD	H2AFJ
HIST1H2BD	H2AFB1
HIST1H2BD	HIST2H2AC
HIST1H2BD	HIST2H2AA4
HIST1H2BD	HIST2H2AA3
HIST1H2BB	CENPW
HIST1H2BB	CENPX
HIST1H2BB	H2AFJ
HIST1H2BB	H2AFB1
HIST1H2BB	HIST2H2AC
HIST1H2BB	HIST2H2AA4
HIST1H2BB	HIST2H2AA3
HIST1H2BA	CENPW
HIST1H2BA	CENPX
HIST1H2BA	H2AFJ
HIST1H2BA	H2AFB1
HIST1H2BA	HIST2H2AC
HIST1H2BA	HIST2H2AA4
HIST1H2BA	HIST2H2AA3
HIST1H2BA	HIST1H2BL
HIST1H2AD	CENPW
HIST1H2AD	CENPX
HIST1H2AD	HIST1H2BN
HIST1H2AD	HIST1H2BL
HIST1H2AD	HIST1H2BK
HIST1H2AD	HIST1H2BJ
HIST1H2AD	HIST1H2BD
HIST1H2AD	HIST1H2BB
HIST1H2AD	HIST1H2BA
HIST1H2AC	CENPW
HIST1H2AC	CENPX
HIST1H2AC	HIST1H2BN
HIST1H2AC	HIST1H2BL
HIST1H2AC	HIST1H2BK
HIST1H2AC	HIST1H2BJ
HIST1H2AC	HIST1H2BD
HIST1H2AC	HIST1H2BB
HIST1H2AC	HIST1H2BA
H2AFZ	CENPW
H2AFZ	CENPX
H2AFZ	HIST2H2AA4
H2AFZ	HIST2H2AA3
H2AFZ	HIST1H2BN
H2AFZ	HIST1H2BL
H2AFZ	HIST1H2BK
H2AFZ	HIST1H2BJ
H2AFZ	HIST1H2BD
H2AFZ	HIST1H2BB
H2AFZ	HIST1H2BA
HIST3H2BB	CENPW
HIST3H2BB	CENPX
HIST3H2BB	H2AFJ
HIST3H2BB	H2AFB1
HIST3H2BB	HIST2H2AC
HIST3H2BB	HIST2H2AA4
HIST3H2BB	HIST2H2AA3
HIST3H2BB	HIST1H2BB
HIST3H2BB	HIST1H2AD
HIST3H2BB	HIST1H2AC
HIST3H2BB	H2AFZ
HIST1H2AJ	CENPW
HIST1H2AJ	CENPX
HIST1H2AJ	HIST1H2BN
HIST1H2AJ	HIST1H2BL
HIST1H2AJ	HIST1H2BK
HIST1H2AJ	HIST1H2BJ
HIST1H2AJ	HIST1H2BD
HIST1H2AJ	HIST1H2BB
HIST1H2AJ	HIST1H2BA
HIST1H2AJ	HIST3H2BB
HDAC10	HIST2H2AC
HDAC10	HIST2H2AA4
HDAC10	HIST2H2AA3
HDAC10	HIST1H2BN
HDAC10	HIST1H2BL
HDAC10	HIST1H2BK
HDAC10	HIST1H2BJ
HDAC10	HIST1H2BD
HDAC10	HIST1H2BB
HDAC10	HIST1H2BA
HDAC10	HIST1H2AD
HDAC10	HIST1H2AC
HDAC10	HIST3H2BB
HDAC10	HIST1H2AJ
EPC1	ANP32E
HIST3H2A	BAP1
HIST3H2A	EPC1
BRCC3	HIST3H2A
ABRAXAS1	HIST3H2A
ABRAXAS1	BRCC3
BAZ2A	BAZ1B
CHD4	HIST3H2A
HIST2H3D	BCL9
HIST2H3D	BCL9L
HIST2H3D	BAZ1B
HIST2H3D	HIST3H2A
HIST2H3D	BAZ2A
HIST2H3D	CHD4
HIST2H3D	GREB1
HIST2H3D	GATA1
HIST2H3C	BCL9
HIST2H3C	BCL9L
HIST2H3C	BAZ1B
HIST2H3C	HIST3H2A
HIST2H3C	BAZ2A
HIST2H3C	CHD4
HIST2H3C	GREB1
HIST2H3C	GATA1
HIST2H3A	BCL9
HIST2H3A	BCL9L
HIST2H3A	BAZ1B
HIST2H3A	HIST3H2A
HIST2H3A	BAZ2A
HIST2H3A	CHD4
HIST2H3A	GREB1
HIST2H3A	GATA1
BMI1	HIST2H3D
BMI1	HIST2H3C
BMI1	HIST2H3A
H3F3B	BCL9
H3F3B	BCL9L
H3F3B	BAZ1B
H3F3B	BAZ2A
H3F3B	CHD4
H3F3B	GREB1
H3F3B	GATA1
H3F3B	HIST2H3D
H3F3B	HIST2H3C
H3F3B	HIST2H3A
H3F3B	BMI1
H2AFV	ASH2L
H2AFV	ATAD2
HIST1H2BO	ASH2L
HIST1H2BO	H2AFV
HIST1H2BM	ASH2L
HIST1H2BM	H2AFV
HIST1H2AA	HIST1H2BO
HIST1H2AA	HIST1H2BM
HIST4H4	CHAF1B
HIST4H4	BRPF1
HIST4H4	COPRS
HIST4H4	ASH2L
HIST4H4	ATAD2
HIST4H4	H2AFV
HIST4H4	HIST1H2BO
HIST4H4	HIST1H2BM
HIST4H4	HIST1H2AA
HIST2H4B	CHAF1B
HIST2H4B	BRPF1
HIST2H4B	COPRS
HIST2H4B	ASH2L
HIST2H4B	ATAD2
HIST2H4B	H2AFV
HIST2H4B	HIST1H2BO
HIST2H4B	HIST1H2BM
HIST2H4B	HIST1H2AA
HIST2H4A	CHAF1B
HIST2H4A	BRPF1
HIST2H4A	COPRS
HIST2H4A	ASH2L
HIST2H4A	ATAD2
HIST2H4A	H2AFV
HIST2H4A	HIST1H2BO
HIST2H4A	HIST1H2BM
HIST2H4A	HIST1H2AA
HIST1H4L	CHAF1B
HIST1H4L	BRPF1
HIST1H4L	COPRS
HIST1H4L	ASH2L
HIST1H4L	ATAD2
HIST1H4L	H2AFV
HIST1H4L	HIST1H2BO
HIST1H4L	HIST1H2BM
HIST1H4L	HIST1H2AA
HIST1H4K	CHAF1B
HIST1H4K	BRPF1
HIST1H4K	COPRS
HIST1H4K	ASH2L
HIST1H4K	ATAD2
HIST1H4K	H2AFV
HIST1H4K	HIST1H2BO
HIST1H4K	HIST1H2BM
HIST1H4K	HIST1H2AA
HIST1H4J	CHAF1B
HIST1H4J	BRPF1
HIST1H4J	COPRS
HIST1H4J	ASH2L
HIST1H4J	ATAD2
HIST1H4J	H2AFV
HIST1H4J	HIST1H2BO
HIST1H4J	HIST1H2BM
HIST1H4J	HIST1H2AA
HIST1H4I	CHAF1B
HIST1H4I	BRPF1
HIST1H4I	COPRS
HIST1H4I	ASH2L
HIST1H4I	ATAD2
HIST1H4I	H2AFV
HIST1H4I	HIST1H2BO
HIST1H4I	HIST1H2BM
HIST1H4I	HIST1H2AA
HIST1H4H	CHAF1B
HIST1H4H	BRPF1
HIST1H4H	COPRS
HIST1H4H	ASH2L
HIST1H4H	ATAD2
HIST1H4H	H2AFV
HIST1H4H	HIST1H2BO
HIST1H4H	HIST1H2BM
HIST1H4H	HIST1H2AA
HIST1H4F	CHAF1B
HIST1H4F	BRPF1
HIST1H4F	COPRS
HIST1H4F	ASH2L
HIST1H4F	ATAD2
HIST1H4F	H2AFV
HIST1H4F	HIST1H2BO
HIST1H4F	HIST1H2BM
HIST1H4F	HIST1H2AA
HIST1H4E	CHAF1B
HIST1H4E	BRPF1
HIST1H4E	COPRS
HIST1H4E	ASH2L
HIST1H4E	ATAD2
HIST1H4E	H2AFV
HIST1H4E	HIST1H2BO
HIST1H4E	HIST1H2BM
HIST1H4E	HIST1H2AA
HIST1H4D	CHAF1B
HIST1H4D	BRPF1
HIST1H4D	COPRS
HIST1H4D	ASH2L
HIST1H4D	ATAD2
HIST1H4D	H2AFV
HIST1H4D	HIST1H2BO
HIST1H4D	HIST1H2BM
HIST1H4D	HIST1H2AA
HIST1H4C	CHAF1B
HIST1H4C	BRPF1
HIST1H4C	COPRS
HIST1H4C	ASH2L
HIST1H4C	ATAD2
HIST1H4C	H2AFV
HIST1H4C	HIST1H2BO
HIST1H4C	HIST1H2BM
HIST1H4C	HIST1H2AA
HIST1H4B	CHAF1B
HIST1H4B	BRPF1
HIST1H4B	COPRS
HIST1H4B	ASH2L
HIST1H4B	ATAD2
HIST1H4B	H2AFV
HIST1H4B	HIST1H2BO
HIST1H4B	HIST1H2BM
HIST1H4B	HIST1H2AA
HIST1H4A	CHAF1B
HIST1H4A	BRPF1
HIST1H4A	COPRS
HIST1H4A	ASH2L
HIST1H4A	ATAD2
HIST1H4A	H2AFV
HIST1H4A	HIST1H2BO
HIST1H4A	HIST1H2BM
HIST1H4A	HIST1H2AA
H3F3A	CHAF1B
H3F3A	ASH2L
H3F3A	H2AFV
H3F3A	HIST1H2BO
H3F3A	HIST1H2BM
H3F3A	HIST4H4
H3F3A	HIST2H4B
H3F3A	HIST2H4A
H3F3A	HIST1H4L
H3F3A	HIST1H4K
H3F3A	HIST1H4J
H3F3A	HIST1H4I
H3F3A	HIST1H4H
H3F3A	HIST1H4F
H3F3A	HIST1H4E
H3F3A	HIST1H4D
H3F3A	HIST1H4C
H3F3A	HIST1H4B
H3F3A	HIST1H4A
ELP1	HIST4H4
ELP1	HIST2H4B
ELP1	HIST2H4A
ELP1	HIST1H4L
ELP1	HIST1H4K
ELP1	HIST1H4J
ELP1	HIST1H4I
ELP1	HIST1H4H
ELP1	HIST1H4F
ELP1	HIST1H4E
ELP1	HIST1H4D
ELP1	HIST1H4C
ELP1	HIST1H4B
ELP1	HIST1H4A
DNAJA2	HIST4H4
DNAJA2	HIST2H4B
DNAJA2	HIST2H4A
DNAJA2	HIST1H4L
DNAJA2	HIST1H4K
DNAJA2	HIST1H4J
DNAJA2	HIST1H4I
DNAJA2	HIST1H4H
DNAJA2	HIST1H4F
DNAJA2	HIST1H4E
DNAJA2	HIST1H4D
DNAJA2	HIST1H4C
DNAJA2	HIST1H4B
DNAJA2	HIST1H4A
DHX37	BMS1
ANAPC7	CDC26
ANAPC4	CDC26
ANAPC4	ANAPC7
ANAPC13	CDC26
ANAPC13	ANAPC7
ANAPC13	ANAPC4
ANAPC10	CDC26
ANAPC10	ANAPC7
ANAPC10	ANAPC4
ANAPC10	ANAPC13
EXOSC6	BMS1
EXOSC6	DHX37
EXOSC9	BMS1
EXOSC9	DHX37
EXOSC9	EXOSC6
EXOSC7	BMS1
EXOSC7	DHX37
EXOSC7	EXOSC6
EXOSC7	EXOSC9
DDX47	BMS1
DDX47	DHX37
DDX47	EXOSC6
DDX47	EXOSC9
DDX47	EXOSC7
EXOSC8	BMS1
EXOSC8	DHX37
EXOSC8	EXOSC6
EXOSC8	EXOSC9
EXOSC8	EXOSC7
EXOSC8	DDX47
ANAPC2	CDC26
ANAPC2	ANAPC7
ANAPC2	ANAPC4
ANAPC2	ANAPC13
ANAPC2	ANAPC10
EXOSC3	BMS1
EXOSC3	DHX37
EXOSC3	EXOSC6
EXOSC3	EXOSC9
EXOSC3	EXOSC7
EXOSC3	DDX47
EXOSC3	EXOSC8
EXOSC2	BMS1
EXOSC2	DHX37
EXOSC2	EXOSC6
EXOSC2	EXOSC9
EXOSC2	EXOSC7
EXOSC2	DDX47
EXOSC2	EXOSC8
EXOSC2	EXOSC3
CUL4A	ERCC8
FBL	BMS1
FBL	DHX37
FBL	EXOSC6
FBL	EXOSC9
FBL	EXOSC7
FBL	DDX47
FBL	EXOSC8
FBL	EXOSC3
FBL	EXOSC2
FBL	CUL4A
DDX52	BMS1
DDX52	DHX37
DDX52	EXOSC6
DDX52	EXOSC9
DDX52	EXOSC7
DDX52	DDX47
DDX52	EXOSC8
DDX52	EXOSC3
DDX52	EXOSC2
DDX52	FBL
DDB1	ERCC8
DDB1	CUL4A
DDB1	FBL
COPZ1	FOLR1
COPG2	FOLR1
COPG2	COPZ1
CD55	COPZ1
CD55	COPG2
ARCN1	FOLR1
ARCN1	COPZ1
ARCN1	COPG2
ARCN1	CD55
COPB1	FOLR1
COPB1	COPZ1
COPB1	COPG2
COPB1	CD55
COPB1	ARCN1
COPB2	FOLR1
COPB2	COPZ1
COPB2	COPG2
COPB2	CD55
COPB2	ARCN1
COPB2	COPB1
COPG1	FOLR1
COPG1	COPZ1
COPG1	COPG2
COPG1	CD55
COPG1	ARCN1
COPG1	COPB1
COPG1	COPB2
COPA	FOLR1
COPA	COPZ1
COPA	COPG2
COPA	CD55
COPA	ARCN1
COPA	COPB1
COPA	COPB2
COPA	COPG1
HAUS5	HAUS6
HAUS4	HAUS6
HAUS4	HAUS5
HAUS3	HAUS6
HAUS3	HAUS5
HAUS3	HAUS4
CSNK1D	HAUS6
CSNK1D	HAUS5
CSNK1D	HAUS4
CSNK1D	HAUS3
CEP72	HAUS6
CEP72	HAUS5
CEP72	HAUS4
CEP72	HAUS3
CEP72	CSNK1D
CEP41	HAUS6
CEP41	HAUS5
CEP41	HAUS4
CEP41	HAUS3
CEP41	CSNK1D
CEP41	CEP72
CEP290	HAUS6
CEP290	HAUS5
CEP290	HAUS4
CEP290	HAUS3
CEP290	CSNK1D
CEP290	CEP72
CEP290	CEP41
CEP192	HAUS6
CEP192	HAUS5
CEP192	HAUS4
CEP192	HAUS3
CEP192	CSNK1D
CEP192	CEP72
CEP192	CEP41
CEP192	CEP290
CEP131	HAUS6
CEP131	HAUS5
CEP131	HAUS4
CEP131	HAUS3
CEP131	CSNK1D
CEP131	CEP72
CEP131	CEP41
CEP131	CEP290
CEP131	CEP192
CC2D2A	HAUS6
CC2D2A	HAUS5
CC2D2A	HAUS4
CC2D2A	HAUS3
CC2D2A	CSNK1D
CC2D2A	CEP72
CC2D2A	CEP41
CC2D2A	CEP290
CC2D2A	CEP192
CC2D2A	CEP131
C2CD3	HAUS6
C2CD3	HAUS5
C2CD3	HAUS4
C2CD3	HAUS3
C2CD3	CSNK1D
C2CD3	CEP72
C2CD3	CEP41
C2CD3	CEP290
C2CD3	CEP192
C2CD3	CEP131
C2CD3	CC2D2A
B9D2	HAUS6
B9D2	HAUS5
B9D2	HAUS4
B9D2	HAUS3
B9D2	CSNK1D
B9D2	CEP72
B9D2	CEP41
B9D2	CEP290
B9D2	CEP192
B9D2	CEP131
B9D2	CC2D2A
B9D2	C2CD3
DYNC1LI2	B9D2
DCTN3	HAUS6
DCTN3	HAUS5
DCTN3	HAUS4
DCTN3	HAUS3
DCTN3	CSNK1D
DCTN3	CEP72
DCTN3	CEP41
DCTN3	CEP290
DCTN3	CEP192
DCTN3	CEP131
DCTN3	CC2D2A
DCTN3	C2CD3
DCTN3	B9D2
DCTN3	DYNC1LI2
HAUS2	HAUS6
HAUS2	HAUS5
HAUS2	HAUS4
HAUS2	HAUS3
HAUS2	CSNK1D
HAUS2	CEP72
HAUS2	CEP41
HAUS2	CEP290
HAUS2	CEP192
HAUS2	CEP131
HAUS2	CC2D2A
HAUS2	C2CD3
HAUS2	B9D2
HAUS2	DCTN3
BET1	DYNC1LI2
BET1	DCTN3
ACTR1A	HAUS6
ACTR1A	HAUS5
ACTR1A	HAUS4
ACTR1A	HAUS3
ACTR1A	CSNK1D
ACTR1A	CEP72
ACTR1A	CEP41
ACTR1A	CEP290
ACTR1A	CEP192
ACTR1A	CEP131
ACTR1A	CC2D2A
ACTR1A	C2CD3
ACTR1A	B9D2
ACTR1A	DYNC1LI2
ACTR1A	DCTN3
ACTR1A	HAUS2
ACTR1A	BET1
CEP250	HAUS6
CEP250	HAUS5
CEP250	HAUS4
CEP250	HAUS3
CEP250	CSNK1D
CEP250	CEP72
CEP250	CEP41
CEP250	CEP290
CEP250	CEP192
CEP250	CEP131
CEP250	CC2D2A
CEP250	C2CD3
CEP250	B9D2
CEP250	DCTN3
CEP250	HAUS2
CEP250	ACTR1A
CLASP1	HAUS6
CLASP1	HAUS5
CLASP1	HAUS4
CLASP1	HAUS3
CLASP1	CSNK1D
CLASP1	CEP72
CLASP1	CEP41
CLASP1	CEP290
CLASP1	CEP192
CLASP1	CEP131
CLASP1	CC2D2A
CLASP1	C2CD3
CLASP1	B9D2
CLASP1	DYNC1LI2
CLASP1	DCTN3
CLASP1	HAUS2
CLASP1	ACTR1A
CLASP1	CEP250
CKAP5	HAUS6
CKAP5	HAUS5
CKAP5	HAUS4
CKAP5	HAUS3
CKAP5	CSNK1D
CKAP5	CEP72
CKAP5	CEP41
CKAP5	CEP290
CKAP5	CEP192
CKAP5	CEP131
CKAP5	CC2D2A
CKAP5	C2CD3
CKAP5	B9D2
CKAP5	DYNC1LI2
CKAP5	DCTN3
CKAP5	HAUS2
CKAP5	ACTR1A
CKAP5	CEP250
CKAP5	CLASP1
DCTN2	HAUS6
DCTN2	HAUS5
DCTN2	HAUS4
DCTN2	HAUS3
DCTN2	CSNK1D
DCTN2	CEP72
DCTN2	CEP41
DCTN2	CEP290
DCTN2	CEP192
DCTN2	CEP131
DCTN2	CC2D2A
DCTN2	C2CD3
DCTN2	B9D2
DCTN2	DYNC1LI2
DCTN2	DCTN3
DCTN2	HAUS2
DCTN2	BET1
DCTN2	ACTR1A
DCTN2	CEP250
DCTN2	CLASP1
DCTN2	CKAP5
DYNC1I2	HAUS6
DYNC1I2	HAUS5
DYNC1I2	HAUS4
DYNC1I2	HAUS3
DYNC1I2	CSNK1D
DYNC1I2	CEP72
DYNC1I2	CEP41
DYNC1I2	CEP290
DYNC1I2	CEP192
DYNC1I2	CEP131
DYNC1I2	CC2D2A
DYNC1I2	C2CD3
DYNC1I2	B9D2
DYNC1I2	DYNC1LI2
DYNC1I2	DCTN3
DYNC1I2	HAUS2
DYNC1I2	BET1
DYNC1I2	ACTR1A
DYNC1I2	CEP250
DYNC1I2	CLASP1
DYNC1I2	CKAP5
DYNC1I2	DCTN2
BORA	HAUS6
BORA	HAUS5
BORA	HAUS4
BORA	HAUS3
BORA	CSNK1D
BORA	CEP72
BORA	CEP41
BORA	CEP290
BORA	CEP192
BORA	CEP131
BORA	DCTN3
BORA	HAUS2
BORA	ACTR1A
BORA	CEP250
BORA	CLASP1
BORA	CKAP5
BORA	DCTN2
BORA	DYNC1I2
ALMS1	HAUS6
ALMS1	HAUS5
ALMS1	HAUS4
ALMS1	HAUS3
ALMS1	CSNK1D
ALMS1	CEP72
ALMS1	CEP41
ALMS1	CEP290
ALMS1	CEP192
ALMS1	CEP131
ALMS1	CC2D2A
ALMS1	C2CD3
ALMS1	B9D2
ALMS1	DCTN3
ALMS1	HAUS2
ALMS1	ACTR1A
ALMS1	CEP250
ALMS1	CLASP1
ALMS1	CKAP5
ALMS1	DCTN2
ALMS1	DYNC1I2
ALMS1	BORA
CEP57	HAUS6
CEP57	HAUS5
CEP57	HAUS4
CEP57	HAUS3
CEP57	CSNK1D
CEP57	CEP72
CEP57	CEP41
CEP57	CEP290
CEP57	CEP192
CEP57	CEP131
CEP57	CC2D2A
CEP57	C2CD3
CEP57	B9D2
CEP57	DCTN3
CEP57	HAUS2
